Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,373229380,4788.34367146549,22330933,286.4945458164894,2657167,5658702,72.59827699097299,63377,0.8130947699413933,9312,
United States of America,Americas,73531094,22214.654,3595883,1086.361,520904,875755,264.576,16164,4.883,3302
India,South-East Asia,41302440,2992.921,1759112,127.471,209918,495050,35.873,5202,0.377,959
Brazil,Americas,25214622,11862.388,1305447,614.156,179816,626524,294.752,3723,1.752,640
France,Europe,18574875,28559.437,2305238,3544.374,249448,127804,196.503,1893,2.911,127
The United Kingdom,Europe,16468526,24259.089,602501,887.519,62399,155698,229.352,1835,2.703,85
Russian Federation,Europe,11861077,8127.674,687777,471.292,124070,331349,227.053,4582,3.14,621
Turkey,Europe,11525730,13665.944,579492,687.098,88145,87234,103.432,1265,1.5,189
Italy,Europe,10925485,18318.599,1001807,1679.715,104110,146149,245.046,2626,4.403,235
Germany,Europe,9815533,11802.238,1070693,1287.406,78318,117786,141.626,1040,1.251,61
Spain,Europe,9660209,20409.202,321378,678.978,0,92767,195.99,364,0.769,0
Argentina,Americas,8335184,18442.397,542532,1200.404,21570,120988,267.698,1885,4.171,152
Iran (Islamic Republic of),Eastern Mediterranean,6344179,7553.228,93689,111.544,21996,132424,157.661,194,0.231,44
Colombia,Americas,5855858,11508.501,141766,278.612,18450,133832,263.02,1809,3.555,272
Mexico,Americas,4916143,3812.951,233915,181.424,42582,305762,237.148,2499,1.938,522
Poland,Europe,4886154,12872.481,338839,892.665,33477,105194,277.132,1348,3.551,33
Indonesia,South-East Asia,4353370,1591.588,64065,23.422,10185,144320,52.763,93,0.034,17
Netherlands,Europe,4320257,24818.244,430871,2475.191,75199,21272,122.2,62,0.356,2
Ukraine,Europe,4064495,9293.724,194125,443.879,22026,100203,229.12,921,2.106,78
South Africa,Africa,3603856,6076.438,22497,37.932,2226,95022,160.216,845,1.425,117
Philippines,Western Pacific,3545680,3235.668,128562,117.321,16953,53891,49.179,419,0.382,20
Peru,Americas,3196488,9694.596,302273,916.761,35756,205347,622.795,1206,3.658,235
Belgium,Europe,3055925,26521.509,212283,1842.344,0,28957,251.31,113,0.981,0
Czechia,Europe,3013454,28179.083,248942,2327.879,23914,37209,347.945,124,1.16,12
Canada,Americas,2998329,7944.245,91239,241.743,0,33373,88.424,868,2.3,0
Malaysia,Western Pacific,2865984,8854.922,33039,102.079,4915,31965,98.761,73,0.226,8
Israel,Europe,2852882,32960.181,462220,5340.163,74312,8724,100.791,214,2.472,19
Japan,Western Pacific,2669638,2110.779,499985,395.319,85042,18764,14.836,258,0.204,35
Portugal,Europe,2611886,25368.192,390061,3788.505,45335,19856,192.853,287,2.788,31
Thailand,South-East Asia,2440542,3496.48,55903,80.09,8008,22173,31.766,128,0.183,16
Viet Nam,Western Pacific,2263053,2324.929,121631,124.957,29766,37668,38.698,949,0.975,121
Iraq,Eastern Mediterranean,2203365,5477.942,49128,122.141,5582,24376,60.603,89,0.221,15
Romania,Europe,2196394,11363.301,179265,927.448,19668,59984,310.334,437,2.261,52
Australia,Western Pacific,2159490,8468.627,501042,1964.88,33730,3716,14.573,613,2.404,88
Chile,Americas,2137743,11182.886,172350,901.591,30131,39684,207.594,172,0.9,31
Switzerland,Europe,2122355,24522.804,146041,1687.434,0,12259,141.647,29,0.335,0
Sweden,Europe,2070456,20047.816,206890,2003.275,0,15855,153.521,61,0.591,0
Greece,Europe,1920992,17922.101,127681,1191.214,11112,23372,218.052,737,6.876,97
Austria,Europe,1834504,20609.941,223711,2513.306,25327,13608,152.881,62,0.697,4
Bangladesh,South-East Asia,1798833,1092.258,98869,60.034,13501,28394,17.241,156,0.095,31
Denmark,Europe,1713485,29427.353,315652,5421,36196,3738,64.196,130,2.233,21
Serbia,Europe,1662446,24000.531,117546,1696.997,13153,13570,195.908,299,4.317,57
Hungary,Europe,1553405,15900.516,112020,1146.627,45047,41405,423.818,461,4.719,176
Pakistan,Eastern Mediterranean,1417991,641.938,50386,22.81,7958,29248,13.241,151,0.068,29
Kazakhstan,Europe,1319814,7028.996,76594,407.92,7506,18508,98.569,117,0.623,18
Jordan,Eastern Mediterranean,1209083,11850.114,68035,666.805,11833,13193,129.303,120,1.176,19
Georgia,Europe,1175923,29477.849,116531,2921.18,13150,14980,375.516,248,6.217,35
Ireland,Europe,1169645,23560.462,23677,476.932,0,6136,123.599,49,0.987,0
Morocco,Eastern Mediterranean,1131395,3065.234,32982,89.357,2255,15362,41.62,230,0.623,34
Cuba,Americas,1039842,9180.518,17730,156.534,0,8397,74.135,34,0.3,7
Slovakia,Europe,1008141,18471.317,86719,1588.879,7796,17830,326.684,155,2.84,13
Nepal,South-East Asia,953913,3273.91,35465,121.719,3472,11743,40.303,84,0.288,8
Bulgaria,Europe,941814,13548.392,61586,885.941,2602,33160,477.021,496,7.135,39
Croatia,Europe,935722,23057.761,58662,1445.53,6220,13777,339.488,370,9.117,46
Lebanon,Eastern Mediterranean,914929,13404.679,49700,728.158,7105,9590,140.504,103,1.509,14
Tunisia,Eastern Mediterranean,907239,7676.354,53334,451.271,6132,26271,222.285,283,2.395,42
Republic of Korea,Western Pacific,845709,1649.546,104301,203.438,17085,6755,13.176,190,0.371,23
United Arab Emirates,Eastern Mediterranean,843030,8523.718,17331,175.23,2291,2240,22.648,26,0.263,1
Bolivia (Plurinational State of),Americas,841757,7211.132,37080,317.656,0,20824,178.394,254,2.176,0
Belarus,Europe,740988,7841.706,14128,149.513,2387,6039,63.909,106,1.122,15
Norway,Europe,714530,13311.958,84758,1579.073,0,1439,26.809,26,0.484,0
Ecuador,Americas,707224,4008.512,32261,182.854,0,34442,195.216,127,0.72,0
Slovenia,Europe,702201,33504.178,98527,4701.027,13851,6340,302.501,37,1.765,4
Panama,Americas,692634,16052.64,55115,1277.358,7004,7698,178.411,115,2.665,18
Guatemala,Americas,688326,3842.055,19314,107.806,2784,16373,91.39,110,0.614,30
Saudi Arabia,Eastern Mediterranean,683053,1962.014,30699,88.18,3669,8936,25.668,16,0.046,3
Costa Rica,Americas,682480,13397.412,33590,659.388,0,7533,147.876,71,1.394,0
Lithuania,Europe,679513,24319.653,67013,2398.384,5995,7872,281.738,110,3.937,12
Azerbaijan,Europe,656284,6472.755,22553,222.434,4943,8720,86.003,110,1.085,20
Uruguay,Americas,653853,18822.793,73787,2124.143,9222,6436,185.276,133,3.829,25
Sri Lanka,South-East Asia,610103,2849.185,7340,34.278,0,15420,72.011,107,0.5,0
Paraguay,Americas,570469,7998.121,37821,530.26,5101,17231,241.583,278,3.898,19
Dominican Republic,Americas,554052,5107.454,14472,133.408,1221,4305,39.685,18,0.166,4
Kuwait,Eastern Mediterranean,539654,12636.577,42200,988.158,5592,2496,58.447,10,0.234,2
Myanmar,South-East Asia,535254,983.746,1091,2.005,0,19310,35.49,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,524716,10285.697,39737,778.941,8657,5098,99.933,42,0.823,11
Finland,Europe,489870,8865.957,35325,639.333,2151,1990,36.016,5,0.09,0
Venezuela (Bolivarian Republic of),Americas,481375,1692.84,13511,47.514,2364,5436,19.117,34,0.12,6
Ethiopia,Africa,464930,404.415,2823,2.456,176,7331,6.377,87,0.076,4
Puerto Rico,Americas,456623,15961.079,14543,508.345,1615,3854,134.715,158,5.523,17
Mongolia,Western Pacific,443410,13525.649,15042,458.837,1206,2036,62.106,15,0.458,5
Republic of Moldova,Europe,440698,10924.691,31301,775.937,2449,10642,263.81,120,2.975,7
Libya,Eastern Mediterranean,425237,6188.603,19812,288.33,5694,6007,87.422,86,1.252,14
Egypt,Eastern Mediterranean,423688,414.023,13590,13.28,2210,22604,22.088,236,0.231,38
Honduras,Americas,391874,3956.482,3438,34.711,0,10504,106.052,35,0.353,0
Latvia,Europe,388989,20390.737,53448,2801.735,6860,4868,255.18,73,3.827,6
Bahrain,Eastern Mediterranean,368767,21672.098,38146,2241.805,6745,1407,82.688,8,0.47,3
Armenia,Europe,367795,12411.946,15396,519.567,1362,8053,271.764,25,0.844,7
Singapore,Western Pacific,348330,5954.011,34558,590.701,4498,854,14.597,6,0.103,0
Bosnia and Herzegovina,Europe,346651,10566.003,13520,412.093,639,14369,437.97,343,10.455,24
Qatar,Eastern Mediterranean,337638,11719.257,14293,496.103,1557,645,22.388,11,0.382,0
Estonia,Europe,337543,25398.728,41077,3090.876,4963,2033,152.975,25,1.881,1
Oman,Eastern Mediterranean,336460,6588.695,14022,274.584,5693,4143,81.13,15,0.294,9
Kenya,Africa,321335,597.596,1106,2.057,101,5580,10.377,26,0.048,2
Zambia,Africa,304922,1658.631,3292,17.907,266,3915,21.296,20,0.109,1
North Macedonia,Europe,268191,12872.88,11919,572.099,1254,8383,402.375,152,7.296,21
Albania,Europe,258021,8965.911,9951,345.785,939,3342,116.13,37,1.286,5
Cyprus,Europe,253350,28530.245,17392,1958.548,2225,731,82.319,19,2.14,1
Nigeria,Africa,253023,122.744,836,0.406,3,3135,1.521,11,0.005,0
Algeria,Africa,250774,571.877,14104,32.163,1464,6566,14.973,71,0.162,11
Botswana,Africa,250746,10662.66,6800,289.162,0,2580,109.711,36,1.531,0
Zimbabwe,Africa,229460,1543.842,1206,8.114,45,5337,35.908,43,0.289,4
Mozambique,Africa,223811,716.071,1215,3.887,73,2170,6.943,13,0.042,3
Uzbekistan,Europe,223008,666.308,7945,23.738,1089,1564,4.673,22,0.066,3
Montenegro,Europe,219298,34916.617,6090,969.649,658,2552,406.329,45,7.165,6
Kosovo[1],Europe,204302,11377.506,22899,1275.237,2390,3002,167.18,14,0.78,0
Kyrgyzstan,Europe,198316,3039.703,2496,38.258,205,2880,44.143,29,0.444,4
Réunion,Africa,180531,20164.032,46914,5239.961,0,500,55.846,38,4.244,0
Afghanistan,Eastern Mediterranean,162140,416.509,2458,6.314,474,7409,19.032,16,0.041,2
Uganda,Africa,161839,353.816,1420,3.104,269,3533,7.724,54,0.118,5
Ghana,Africa,156805,504.635,1309,4.213,115,1393,4.483,26,0.084,2
Namibia,Africa,155722,6128.604,695,27.352,0,3962,155.929,60,2.361,0
